Album Name;Release Date;Track Number;Track Name;Track Instrumental;Track Lyrics
Live From Climate Pledge Arena (Amazon Original) - EP;2021-11-05;4;Fix You;No;"When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
And the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?

Lights will guide you home
And ignite your bones
And I will try to fix you
And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth

Lights will guide you home
And ignite your bones
And I will try to fix you

Tears stream down your face
When you lose something you cannot replace
Tears stream down your face, and I
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face, and I

Lights will guide you home
And ignite your bones
And I will try to fix you"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;1;⦵ (Music of the Spheres);No;Music of the spheres
Music of the Spheres (Digital Deluxe Edition);2021-10-18;2;Higher Power;No;"Three, two, one

Sometimes I just can't take it
Sometimes I just can't take it and it isn't alright
I'm not gonna make it
And I think my shoe's untied (Ooh-ooh)
I'm like a broken record
I'm like a broken record and I'm not playin' right
Drocer nekorb a ekil mi
'Til you tell me on your heavenly phone
To hold tight (Hold tight)
Come on (Come on), come on (Come on)
Oh-oh-oh, oh, oh, oh-oh
Come on (Come on), come on (Come on)
Yeah, don't let go, oh, oh, oh-oh
Hold tight (Hold tight), hold tight (Hold tight)
Oh-oh-oh, oh, oh, oh-oh
""It's alright, it's alright"", you said
I've got my hands up shakin' just to let you know

That you've got a higher power
Got me singin' every sеcond, dancin' every hour
Oh yeah, you'vе got a higher power
And you're really someone I wanna know, ooh

This boy is electric
This boy is electric and you're sparklin' like the universe connected
And I'm buzzin' night after night after night (Oh-oh)
This joy is electric
This joy is electric and you're circuiting through
I'm so happy that I'm alive
Happy I'm alive at the same time as you"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;3;Humankind;No;"Ten, nine, eight, seven, six, five, four, three, two, one

Today I heard the strangest
I heard the strangest song
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
A DJ a star away is
Playing it to turn us on
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
My heart started glowing
I feel it inside, it's flowing

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We're only human
But from another planet
Still they call us humankind

Today I had the strangest
Feeling that I belong
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)

Before I was dying
I feel it inside, now I'm flying

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We'rе only human
But from another planet
Still they call us humankind"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;4;*✧ (Alien Choir);Yes;
Music of the Spheres (Digital Deluxe Edition);2021-10-18;5;Let Somebody Go;No;"(Let somebody, let somebody go)

We had a kind of love
I thought that it would never end
Oh, my lover, oh, my other, oh, my friend
We talked around in circles and
We talked around and then
I loved you to the moon and back again
You gave everything this golden glow
Now turn off all the stars cause this I know
That it hurts like so
To let somebody go

All the storms we weathered
Everything that we went through
Now, without you, what on earth am I to do?
When I called the mathematicians and
I asked them to explain
They said love is only equal to the pain
And when everything was going wrong
You could turn my sorrow into song

Oh, it hurts like so
To let somebody go
To let somebody go (Body go)
Oh, oh-oh (Oh-oh)
Oh, oh-oh
(Let somebody, let somebody go)

Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
So when you love somebody
When you love somebody"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;6;♡ (Human Heart);No;"Boys, boys don't cry
Boys keep it all inside
I try to hide it underneath
Still my heart starts to beat

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart
Girls can make-believe
Girls wear it on their sleeve
Thought I could pretend for tryin' sake
Still my heart had to break

My human heart
Only got a human heart
I wish it didn't run away
I wish it didn't fall apart
Oh, my human heart
Night and day, light and dark
Any day, it could be torn in half (Ooh)
Only got a human heart

Ooh
Ooh"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;7;People of the Pride;No;"People on the left
People on the right
Got a lion inside
People of the pride
Let's go

There's a man who swears he's God
Unbelievers will be shot
There's a man who walks around
Like he owns the fucking lot
There's a man who takes his time
From his homemade cuckoo clock
And he makes us march around it
Ticktock, ticktock, ticktock
There's a crocodile cross-eyed
There's a turning of the tide
We're no longer gonna fight for
Some old crook and all his crimes
There's a sewing up of rags
Into revolution flags
Got to stand up to be counted
Be an anthem for your times
It's just work

It's just work, it's not easy
And we could all be blown apart
And heaven is the fire escape
You try to cling to in the dark
It's just work, believe me
Still my beating heart
We'll all be free to fall in love
With who we want and say
Yeah, yeah, yeah
People of the pride
Go"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;8;Biutyful;No;"All I know
Is I love you so

I hope that you get everything you want in this beautiful life
Change for your pocket, someone for the night
I hope they name you a rocket, take you for a ride for free
And if they tell you, you're nothing, maybe you'd explain
To me, you're the summer sun after the rain
You were there when I needed something for the pain, you see
When you love me, love me, lovе me
When you love mе, love me, love me
When you love me, love me, love me
When you love me, love me, love me
I'm nowhere else
I'm on top of the world, man
On top of the world

And it's so beautiful
And you're so beautiful

I hope that you get everything you want in this beautiful life
Watermelon moon, so happy you're alive
And I feel like a river, finally arrived at sea

Cause when you love me, love me, love me
When you love me, love me, love me
When you love me, love me, love me
When you love me, love me, love me
I know I'll be
On top of the world, man
On top of the world"
Music of the Spheres (Digital Deluxe Edition);2021-10-18;9;❍ (Music of the Spheres II);No;"(Music of the spheres)
​Nemeltneg dna seidaL
​Ot emoclew cisuM eht fo serehpS
​Rebmemer, erehwemos neila na si enoyrevE"
