Album Name;Release Date;Track Name;Disc Number;Track Number;Artist Names;Popularity;Explicit;Duration;Loudness;Tempo;Key;Mode;Time Signature;Danceability;Energy;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Genre;Track Instrumental;Track Lyrics
Everyday Life;2019-11-22;BrokEn;1;4;Coldplay;13;No;02:30;-11.836;130.151;F;Major;4/4;0.55;0.271;0.0495;0.923;0.0;0.147;0.521;Alternative;No;"Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm

Lord, when I'm broken (When I'm broken)
And I'm in need (I'm in need)
Feel that ocean (Feel that ocean)
Swallowing me (Swallowing me)
Head is hanging (Head is hanging)
So sorrowfully (So sorrowfully)
Oh Lord (Ooh-ooh)
Come shine your light on me (Shine your light on me)
On that morning (On that morning)
Scared and blue (Scared and blue)
When I'm hungry (When I'm hungry)
And thirsty too (Thirsty too)
Send this raindrop (Send this raindrop)
Down to the sea (Down to the sea)
Oh Lord (Ooh-ooh)
Come shine your light on me (Shine your light on me)

Oh, shine your light (Oh, shine your light)
Oh, shine a light (Oh, shine a light)
And I know (Ooh-ooh)
That in the darkness I'm alright (I'm alright)
See there's no sun rising (Ooh-ooh)
But inside I'm free (Ooh-ooh)
'Cause the Lord will shine a light for me
(Shine a light on me)
Oh, the Lord will shine a light on me
(Shine your light on me)
Sing it now

Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm
Hmm-hmm-hmm-hmm"
Everyday Life;2019-11-22;Daddy;1;5;Coldplay;25;No;04:58;-19.54;116.981;C♯/D♭;Major;4/4;0.633;0.18;0.034;0.931;0.801;0.513;0.2;Alternative;No;"Daddy, are you out there?
Daddy, won't you come and play?
Daddy, do you not care?
Is there nothing that you wanna say?

I know
You're hurting too
But I need you, I do
Daddy, if you're out there
Daddy, all I want to say
You're so far away
Oh, you're so far away
That's okay, it's okay
I'm okay

Daddy, are you out there?
Daddy, why'd you run away?
Daddy, are you okay?
Look, Dad, we got the same hair
And Daddy, it's my birthday
And all I wanna say

Is you're so far away
Oh, and you're so far away
That's okay, it's okay
It's okay

Ooh, ooh, ooh, ooh
(Ooh, ooh, ooh, ooh) You're so far away

Won't you come and won't you stay?
Please stay, oh, please stay
Won't you come and won't you stay?
One day, just one day"
Everyday Life;2019-11-22;WOTW / POTP;1;6;Coldplay;11;No;01:16;-15.483;133.686;A♯/B♭;Major;4/4;0.692;0.294;0.248;0.935;0.929;0.116;0.802;Alternative;No;"In a world gone wrong
I shall be strong
Wonder of the world, power of the people
I will not want
My faith is strong
Wonder of the world, power of the people

Our world tonight
Get it right
Holding on to the steeple
Our world tonight
I'm off in light
Wonder of the world, power of the people
Ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh"
Everyday Life;2019-11-22;Arabesque;1;7;Coldplay;22;Yes;05:40;-7.727;172.009;G;Major;4/4;0.401;0.834;0.055;0.000114;0.849;0.373;0.163;Alternative;No;"I could be you, you could be me
Two raindrops in the same sea
You could be me, I could be you
Two angles of the same view
And we share the same blood


Comme deux gouttes d’eau
On se ressemble
Comme provenant de la même mère
Comme deux ruisseaux (You could be me)
Qui se rassemblent (I could be you)
Pour faire les grandes rivières
And we share the same blood
Yeah, we share the same blood

And we share the same blood
Yeah, we share the same blood

Music is the weapon, music is the weapon of the future
Music is the weapon, music is the weapon of the future
Music is the weapon, music is the weapon of the future

Same fucking blood
Same fucking blood"
Everyday Life;2019-11-22;When I Need A Friend;1;8;Coldplay;19;No;02:35;-18.225;64.501;C♯/D♭;Major;4/4;0.141;0.28;0.0618;0.921;0.368;0.135;0.434;Alternative;No;"Holy, Holy
Dove descend
Soft and slowly
When I'm near the end
Holy, Holy
Dark defend
Shield me, shōld me
When I need a friend

Slowly, slowly
Violence, end
Love reign o'er me
When I need a friend
Hombre, mire
Ah, propiamente
Para toda la gente ha sido motivo de burla
Por que todo el mundo piensa que es una cosa imposible
Que es cuestión de locos
El problema es que todo es increíble
Y la gente no lo acepta"
Everyday Life;2019-11-22;Guns;2;9;Coldplay;10;Yes;01:55;-8.336;85.25;A♯/B♭;Major;3/4;0.475;0.565;0.0326;0.775;0.188;0.138;0.708;Alternative;No;"Take it from the playgrounds and take it from the bums
Take it from the hospitals and squeeze it from the slums
All the kids make pistols with their fingers and their thumbs
Advertise a revolution, arm it when it comes
We're cooking up the zeros, we've been doing all the sums
The judgment of this court is we need more guns

Stop
Everything's gone so crazy
Everything tangled in blue
Everyone's gone fucking crazy
Maybe I'm crazy too

Melt down all the trumpets, all the trombones and the drums
Who needs education or A Thousand Splendid Suns?
Poor is good for business, cut the forests, they're so dumb
Only save your look-alikes and fuck the other ones
It's the opinion of this board that we need more guns

Stop

Everything's gone so crazy
Everybody but you
Everything's gone fucking crazy
Maybe I'm crazy too"
Everyday Life;2019-11-22;Orphans;2;10;Coldplay;26;No;03:17;-5.051;107.973;B;Minor;4/4;0.503;0.808;0.0451;0.0258;0.00149;0.557;0.282;Alternative;No;"I want to know when I can go
Back and get drunk with my friends
Boom boom kah, buba de kah
Boom boom kah, buba de kah
Boom boom kah, buba de kah

Rosaleem of the Damascene
Yes, she had eyes like the moon
Would have been on the silver screen
But for the missile monsoon
She went (Woo-woo, woo-woo, ooh-ooh-ooh)
Indigo up in heaven today
(Woo-woo, woo-woo, ooh-ooh-ooh)
Bombs going boom-ba-ba-boom
She say

I want to know when I can go
Back and get drunk with my friends
I want to know when I can go
Back and be young again

Baba would go where the flowers grow
Almond and peach trees in bloom
And he would know just when and what to sow
So golden and opportune

But he went (Woo-woo, woo-woo, ooh-ooh-ooh)
Tulips the colour of honey today
(It's true, true, woo-woo, ooh-ooh-ooh)
Bombs going boom-ba-ba-boom
He say"
Everyday Life;2019-11-22;Èkó;2;11;Coldplay;12;No;02:37;-13.871;182.995;G;Major;3/4;0.341;0.365;0.0322;0.722;0.00194;0.184;0.0486;Alternative;No;"Ah-hmm

Joseph rode in on a beam of light
Stray dogs to welcome him, fights, corrugate cathedrals
The sight of the pilgrims going nowhere in millions of cars

Lagos a dream in the distance
From promises he'd made behind
Where there was no harvest
But he missed the sky and its circus
And countless, the stars
In Africa
The rivers are perfectly deep
And beautifully wide
In Africa
The mothers will sing you to sleep
And say, ""It's alright, child
It's alright""

Yeah
Ah-hmm
Ah-hmm

In Africa
We dance in the water and hold
Each other so tight
In Africa
The mothers will sing you to sleep
And say, ""It's alright, child
It's alright""

Joseph rode in on a beam of light
And dreamed of his queen by his side
There'll be a beautiful sunset
And you'll be a beautiful bride"
Everyday Life;2019-11-22;Cry Cry Cry;2;12;Coldplay;15;No;02:47;-10.458;204.52;G♯/A♭;Major;3/4;0.491;0.262;0.0572;0.89;0.288;0.207;0.338;Alternative;No;"Cry, cry, cry, baby
Cry, cry, cry

In a book about the world
Called The Luminous Things
There are trees and flowers glowing
While Jizo Bodhisattva sings

When you cry, cry, cry, baby
When you cry, cry, cry
When you cry, cry, cry, baby
I'll be by your side
(Dum-dum-dum) Don't want us to hurt each other (Dum-dum-dum)
Or cause each other pain (Dum-dum-dum, dum-dum-dum)
(Dum-dum-dum) Don't want to fear what we don't know (Dum-dum-dum)
(Dum-dum-dum, dum-dum-dum)
(Dum-dum-dum) We're in this together, baby (Dum-dum-dum)
We're as singing is to rain (Dum-dum-dum, dum-dum-dum)
So I'll never, ever, ever let you go (Dum-dum-dum)

When you cry, cry, cry, baby
When you cry, cry, cry
When you cry, cry, cry, baby
I'll be by your side
Oh, yeah, yeah
Oh, yeah, yeah

For your miracles outnumber
All the stars out in the sky"
Everyday Life;2019-11-22;Old Friends;2;13;Coldplay;21;No;02:26;-17.499;134.025;F;Major;5/4;0.476;0.18;0.0346;0.943;0.235;0.138;0.236;Alternative;No;"Tony was a friend of mine
We were together all the time
He had my back
Once he really saved my life

Sometimes I wanna call him
Say, ""Hey, let's stay up 'til morning""

And when I close my eyes, when I close my eyes
I see you, you
When I close my eyes, when I close my eyes
You come through, you
Time just deepens
Sweetens and mends
Old friends
We all melt back into the picture
Raindrops back into the water
Old friends
Hmm, hmm
And there are no ends to old friends
Amen"
